# ruleplace.sh probe table — AUTHOR-WRITTEN, not generated.
# Each probe encodes a criterion from 1.5-criteria-v2.md, which is a human judgement; there is no source to
# generate it from. It is therefore NOT independent evidence that the criteria are covered — only that the
# rules it names sit in the files it names. The B01-B19 fork-fidelity probes are generated separately, from
# charter.md's own allocation table, by ruleplace.sh's `fidelity` mode.
#
# Columns, tab-separated:
#   ID  MODE  FILE  ANCHOR  PATTERN
# MODE:
#   present     PATTERN must match the normalized text of FILE
#   absent      PATTERN must NOT match the normalized text of FILE
#   absent-set  PATTERN must NOT match the normalized text of ANY file in the set (FILE is ignored, use -)
#   absent-dispatched  same, but over the six DISPATCHED files only -- charter.md is a manifest that is
#               never given to an agent, so a pointer it contains cannot dangle in anyone's prompt.
# ANCHOR is a literal substring used by mutation-test.sh to build the deletion/relocation mutant.
#   Use "-" for absent/absent-set rules (their mutant is insertion, see mutants.tsv).
#
N-01a	present	charter.md	Forked from	Forked from Guarded_change/stages/charter.md @ 8d73e5d
N-01b	present	charter.md	0e73bacf3af87d8e852e3a9723deda8cdd54f102de54af3880456f7024adc590	sha256 0e73bacf3af87d8e852e3a9723deda8cdd54f102de54af3880456f7024adc590
N-01c	present	charter.md	CARRIED: the five lenses	CARRIED: the five lenses
N-01d	present	charter.md	CHANGED — each difference	CHANGED . each difference stated
N-01e	present	charter.md	DELIBERATELY NOT CARRIED	DELIBERATELY NOT CARRIED
N-02	absent-set	-	-	UNVETTED DRAFT
N-04a	present	charter-common.md	the sha256 of each	the sha256 of each context file you read
N-04b	present	charter-common.md	treated as un-run	record missing any of these means the work is treated as un-run
N-04c	present	charter-common.md	bounded by the function that spawned you	bounded by the function that spawned you
N-04d	present	charter-common.md	quoted in your record as such	quoted in your record as such
N-05a	present	redteam-plan.md	Exactly one thing beyond the common list: the plan	Exactly one thing beyond the common list: the plan
N-05b	present	divider.md	Exactly: the task and the granularity floor	Exactly: the task and the granularity floor
N-05c	present	leaf.md	the plan you are to fill out	the task, the plan you are to fill out, and the granularity floor
N-05d	present	node.md	your depth, and your	the granularity floor, your depth, and your node_id
N-05e	present	combiner.md	the vector your function was called with	the vector your function was called with
N-05f	present	redteam-split.md	its two sub-tasks and the stated seam between them	its two sub-tasks and the stated seam between them
N-05g	present	node.md	Memo_read(node_id) runs BEFORE	Memo_read.node_id. runs BEFORE you claim a work-queue slot
N-05h	present	node.md	inherit your parent's	inherit your parent.s work_queue slot
N-06a	present	charter-common.md	A role file only ever ADDS	A role file only ever ADDS
N-06b	present	charter-common.md	defect in the prompt set	that is a defect in the prompt set
N-06c	present	charter.md	which roles can act on this rule	which roles can act on this rule
N-07	present	redteam.md	## The six lenses	The six lenses
N-08a	present	redteam.md	the generative sweep	.iii. the generative sweep
N-08b	present	redteam.md	floor, not the finding	Ticking .i. and .ii. is the floor, not the finding
N-09a	present	charter-common.md	Apply the floor you were given	Apply the floor you were given, not one you infer
