#ID	(a) producer provably earlier?	(b) degenerate: n=1 / root / first run / empty	(c) counterpart / release	VERDICT
# AUTHORED answers. The ROW SET is not authored — it comes from gen-sweep-rows.sh. gen-sweep-table.sh
# joins the two and EXITS 1 if any generated row has no answer here or any answer here has no generated
# row, so the table's totality is enforced rather than claimed.
# VERDICT vocabulary: OK | FIXED (a defect closed in scope this cycle) | PARTIAL+DECLARED (one half fixed,
# the other named and deferred) | DECLARED GAP (a real member of the class that falls OUTSIDE the ratified
# scope: named here, not fixed, never silently dropped).
GBP	the 6 record files: written by stages 3 and 4, read at 5 and 7. the gate state: written by 5, read by 7. both provably earlier	n=1: a single-leaf root has its own 3+3 records and its own gate, so GBP applies unchanged. empty tree: no nodes, so nothing is presentable and there is no artifact to gate — stated at s7	no acquire	OK
PASS1	the three completeness records: written by stage 3's dispatcher, read at 5	n=1: the root is a node like any other, so PASS1 fires on it. fewer than 3 agents available: a declared reduced pass (S-IDN-DEGR), never un-run	no acquire	OK
PASS2	the three adversarial records: written by stage 4's dispatcher, read at 5	same as PASS1, and additionally: PASS2 cannot start before PASS1's set exists (PASS-ORD)	no acquire	OK
PASS-ORD	the ordering fact is the existence of completeness/ before adversarial/ is dispatched; stage 4 checks it at its own start, and 5 re-reads both sets	a node with neither set is un-gated, not "ordered" — stated at s5. a node with only completeness/ is mid-pass, which is the same un-gated state	no acquire	OK
CMP	the 7 spine sections + Layer-2 list live in plan.md, written by 2, read by 3. the Layer-2 list comes from the config, written before stage 1	n=1 / root: unchanged. EMPTY required_sections: tier (ii) becomes vacuous — the same "an absent config key makes the check pass trivially" class as S-CTX-VAC, and nothing states it	no acquire	DECLARED GAP — the class is named (config-key vacuity), the fix is S-CTX-VAC's, and applying it to required_sections is NEW MECHANISM outside R1's ratified scope. Declared, not fixed
CMP2	the operand is the record's own statement that the generative sweep ran: written by 3, read by 5 via the charter's earned-clean clause	a node with no Layer-2 sections: tier (iii) is then the only tier with content, so CMP2 is MORE load-bearing, not less	no acquire	OK
SPN	the §4 heading string in plan.md: written by 2 (from the seed skeleton), read by 3	a leaf task-spec compresses the spine but drops nothing — stated in tp/leaf, and S-SPN pins the one canonical spelling at all 6 measured §4 sites	no acquire	OK
COV	SPLIT. gate-state half: each node's own recorded gate state, written by 5, read by 7 — a producer now exists (S-COV-PROD). seam-union half: NO producer anywhere on disk; nothing rolls a child's seam finding up to its parent	n=1: there are no seams at all, so the seam half is vacuous and the gate-state half is the whole predicate	no acquire	PARTIAL+DECLARED — gate-state half FIXED (was D/3); seam-union half needs F1's up-flow and is stated at all 4 measured sites by S-COV-LIMIT
ORC	the orchestration tree is created by the same stage-6 step that creates each child node, so the mirror cannot lag the tree	n=1: no sub-orchestrators exist; the top orchestrator is the only owner — stated	a spawned sub-orchestrator's counterpart is its RETURN, and a sub-orchestrator that dies has no named detector	PARTIAL+DECLARED — the missing death detector is F6's killed-node marker + run-level abort, deferred by R1 and named here
ECON	not a disk predicate: a context-assembly rule applied at spawn time by stage 6	n=1: the root's subtree is the whole tree, so ECON is vacuous — stated	no acquire	OK — and ECON's O(children²) parent-seam load is declared out of scope (R1)
GRN	the proposed leaf-or-decompose call in plan.md §2: written by 2, validated by 3 and 4, executed by 6	n=1: the root returns leaf, which is the whole point of the scale-down path	no acquire	OK
TOP	the plan/topgate/ DIRECTORY is created EMPTY by stage 1, so a bare-existence test is self-satisfying — the F5 defect. the approved_root_plan_sha256 field is written by the approval's author before 6 reads it	n=1 / no decomposition: TOP NEVER FIRES — stated explicitly, because an unstated "never fires" is indistinguishable from a deadlock. root: TOP is the root's own gate	no acquire	OK ONLY BECAUSE THE LIMITATION IS STATED — S-F5-LIMIT pins it at all 6 measured topgate sites; S-BIND-GATEART adds the staleness condition. F5's mechanism is deferred
CAP	the bounce history in the gate log: appended by 5, read by 5 on the next iteration	the first gate has no history, so the count is 0 — stated	no acquire	OK
DEC	elc(self) from this node's plan.md and elc(parent) from the parent's plan.md, both written at stage 2 and the parent's before this node existed; read at this node's stage 6. within ECON a node already holds its parent's plan	depth 1: there is no grandparent, so DEC cannot trip — stated. the root's own level is never non-reducing	no acquire	OK — was B/L3 (pass 1's formulation needed elc(grandparent), outside the reader's surface)
TPL	the catalog's existence: stage 1's run-level setup seeds it from templates/seed/ and git-inits it, before TPL1 reads it at stage 1 and TPL2/TPL3 read it at stage 6	FIRST RUN: the catalog does not exist. the lock must therefore be takeable BEFORE the catalog exists, which is exactly why the lock is the catalog's SIBLING and never inside it (S-CNC-LOCK)	the seeding step acquires the catalog lock and releases it — on success, on every failure path, and before any HALT (S-CNC-LOCK-REL)	FIXED — was B/L2, the first-run deadlock
TPL1	template: <name> is written into that node's OWN plan.md header by stage 1, the only writer of that file, and read at stage 2 (S-CNC-TMPL)	no match: the recorded value is the explicit token create-new, not an absent key — an absent key would be indistinguishable from an unwritten one	no acquire	FIXED — was A/F3: pass 1 removed index.md's writers and stranded this fact in the deferred _status.md schema
TPL2	the distilled new skeleton: written at stage 6 after the node is gated clean, read at run end	no create-new node: nothing to distil, so run end does nothing AND MUST NOT TAKE THE LOCK — stated	the catalog commit's counterpart is the lock release (S-CNC-LOCK-REL)	OK
TPL3	the staged proposal at catalog-pending/<node-path>.md: written at 6, read at run end. the filename is DERIVED FROM THE NODE PATH, so N concurrent proposers cannot collide (S-CNC-PENDING)	no hole-fix: no proposal, and run end does not take the lock. first run: the directory is created by the first proposer	the staged proposal's counterpart is the run-end commit OR an explicit discard; the lock taken to commit is released on every path	FIXED — was D/12 ∥ F/11, which pass 2 recorded as a cycle-3 carry-forward and did not fix
RST	the deterministic output, written by whichever stage owns it	empty / incomplete node dir IS the "not planned yet" marker (baseline). ONE NAMED EXCEPTION: stage 7 is done only when plan/assembly-approval.md exists, else the presence of assembled-plan.md marks stage 7 done and HG2 never re-fires (S-RST-RESUME)	HARDSTOP's counterpart is the clean re-dispatch, which overwrites the partial file because a partial is not the deterministic name	FIXED — was D/6
RAT3	the stop condition is computed at the stage that raises it, over the gate log written by 5	no delegation: RAT3 is vacuous because the human is present — stated	the halt's counterpart is the orchestrator's RELAYED ANSWER. there is no timeout, so a run can wait indefinitely; that consequence is stated rather than bounded (see run-end)	OK WITH THE UNBOUNDED WAIT STATED
SEV	the reviewer's stated severity: written by the reviewer at 3/4, read at 5	a record that states no severity is un-run under the charter's earned-clean clause, NOT clean	no acquire	OK
S-BIND	the pinned sentence is text; the rule's operands are the dispatcher-recorded plan_sha256 (3,4) and sha256(plan.md) computed now over a file stage 2 wrote	n=1 / root: unchanged — §1.4's narrowing removed the parent clause, so no root special case remains. no records yet: un-gated, which is correct, not a deadlock	no acquire	FIXED
S-BIND-DISP	the dispatcher writes the hash at spawn, i.e. strictly before the reviewer it constrains produces anything	a harness that exposes no spawn-time hook: then BIND has no valid operand and the pass is declared degraded by the same rule IDN uses — not silently self-reported	no acquire	FIXED — the IDN fix generalized one field over (B/L6)
S-BIND-ONE	one operand, this node's own plan.md, written by stage 2	root: structurally fine — no record reports a parent hash, so there is nothing to carve out	no acquire	FIXED
S-BIND-EXIT	the exit is a re-dispatch by 3 or 4, whose fresh record overwrites the file	a node whose every record is stale is un-gated, not blocked forever: the exit exists at every multiplicity	the stale record's counterpart is the fresh record that replaces it	FIXED — was B/L5
S-BIND-REBIND	each rebind entry is written into <node>/decisions.md by stage 5 and dispatcher-recorded	chain of length 0 (no rebind) and chain of length n are the same rule; pass 1's "at most 2" made a node permanently un-gateable	each rebind entry is self-contained	FIXED — was B/L7
S-IDN	the dispatcher observes the id at spawn and records it, before the reviewer produces anything	no dispatcher-observable id: spawn_id: unavailable-by-harness, pass declared degraded	no acquire	FIXED
S-IDN-ASYM	same producer as S-IDN	3 identical DISPATCHER ids ⇒ un-run. 3 identical SELF-REPORTS, including three "unavailable", ⇒ never un-run. both directions stated, because pass 1's unconditional rule would have made this loop's own reviews un-run	no acquire	FIXED
S-IDN-DEGR	same producer as S-IDN	this row IS the degenerate case, made non-vacuous: degraded is a recorded status, not an absent field	no acquire	FIXED
S-RES	gate state + finding lists in <node>/decisions.md, written by 5, read by 7	no findings ⇒ clean, stated. a demoted major ⇒ clean-demoted, which is distinguishable from clean	no acquire	FIXED
S-RES-STATES	same producer	all three clean states assemble, so a fixed-in-place node is not stranded — this is what unified RES(a) with BIND	no acquire	FIXED
S-RES-SWEEP	the short clause is text at all 8 measured clean-or-resolved sites; it points at RES's definition rather than restating it	a site that states clean-or-resolved without RES's definition is the circularity pass 1 shipped; the sweep closes it by measurement, not diligence	no acquire	FIXED — and note the pinned clause is deliberately SHORT because it must be true at 8 sites
S-CTX	the config author writes redteam_context before stage 1 reads it	absent/empty ⇒ S-CTX-VAC's config error	no acquire	FIXED
S-CTX-DECONF	both keys come from the config author	a path that is BOTH citable source and off-limits is the interesting case and is stated explicitly	no acquire	FIXED
S-CTX-VAC	the absence itself is computable at stage 1 over the config file, which the config author wrote	this row IS the degenerate case: path-validation over an absent key checks zero paths and passes trivially, so absence must be an error rather than a pass	no acquire	FIXED
S-PATHVAL	the path list comes from the config; the CHECK is run by stage 1 at run start and again by whichever stage spawns	first spawn and every later spawn are both covered, so a path that dies mid-run is caught. the recorded result lives in <node>/decisions.md, written by that node's owner	no acquire	FIXED — this gives the no-ID path-validation predicate a producer AND a record
S-OFL	purely subtractive: it deletes a claim	n/a — nothing is enforced, which is the point being stated	no acquire	FIXED (subtractive)
S-PRV	purely subtractive at all 4 measured overclaim sites, plus a corpus-wide absence sweep on PROVEN (case-sensitive) and "proven, not asserted"	n/a	no acquire	FIXED (subtractive)
S-PRV-LIMIT	the limitation is text at the 4 measured tier sites	a run with 1 reviewer instead of 3: the correlation claim gets WORSE, not better, so the limitation is if anything understated	no acquire	FIXED — and it explicitly declines to claim frame diversity fixes the correlation (DIV deferred)
S-SPV	the citations are written into each record by 3/4; the SAMPLING is stage 5's duty and its result is recorded in <node>/decisions.md	a record with zero citations is already un-run under the charter's earned-clean clause — stated, so the sample size is never zero-by-vacuity	no acquire	FIXED — the duty now has a named owner, replacing "whoever consumes the review"
S-CNC-DECL	the declaration is text; the facts it declares are structural	n=1: no siblings, so the only parallelism left is the three cold agents within one pass — still real	no acquire	FIXED
S-CNC-INDEX	index.md is regenerated by the top orchestrator by walking the tree, so its producer is the tree itself	empty tree ⇒ an empty index, not a missing one. a stale index cannot mislead because it is never authoritative	no acquire	FIXED
