#ID	KIND	SITE_PATTERN (ERE; NEW = over the OLD text so the row is an OBLIGATION; COOC = over the NEW text so the row is a CO-OCCURRENCE ban)	PINNED (exact normalized substring)	ABSENT (|-separated; must appear nowhere in corpus)
#
# ANCHOR DISCIPLINE (declared, pass 3). Every SITE_PATTERN below was tuned with oracles/ere-probe.py
# against the live tree and, where 0-baseline.B7-measured-sites.md measured the same class, the FILE SET
# matches B7 exactly. No site list anywhere in this cycle is typed; `check.sh . --sites` generates them.
# Rows come in two widths: a DEF row (narrow anchor, long pinned sentence, at the site(s) where the rule
# is defined) and a SWEEP row (wide anchor = every file that states the rule in any form, SHORT pinned
# clause). The obligation is per-FILE, not per-line — see 1.5-criteria.md §7 item 12.
#
S-BIND	NEW	sha256	a review record is current iff the plan_sha256 its dispatcher recorded equals sha256 of that node's plan.md computed now
S-BIND-DISP	NEW	sha256	the plan_sha256 is recorded by the dispatcher at spawn, not self-reported by the reviewer
S-BIND-ONE	NEW	sha256	BIND compares one operand only: this node's own plan.md, so there is no root special case and no subtree-wide invalidation
S-BIND-EXIT	NEW	un-gated	a stale record is un-run and its node un-gated; the exit is to re-run that pass, whose fresh record overwrites the file
S-BIND-REBIND	NEW	Provenance is part of the review record	a rebind chain of any length is valid, and each rebind entry is itself dispatcher-recorded	at most 2 rebinds
S-IDN	NEW	3 independent cold agents|three separately-spawned	spawn_id is the identifier the dispatcher observed at spawn, never self-reported
S-IDN-ASYM	NEW	3 independent cold agents|three separately-spawned	three identical dispatcher-recorded ids mean one agent asked three times, so the pass is un-run; three identical self-reports, including three unavailable, never make a pass un-run	three identical spawn_id values means the pass is un-run
S-IDN-DEGR	NEW	3 independent cold agents|three separately-spawned	if the harness exposes no dispatcher-observable id the record carries spawn_id: unavailable-by-harness and the pass is declared degraded, never un-run
S-RES	NEW	Gate-bounce cap|gate-bounce cap	resolved means exactly one of three things: a minor or nitpick fixed in place and rebound; a blocker or major routed to stage 2 and never fixed in place; an author edit no reviewer asked for, which is a re-draft
S-RES-STATES	NEW	Gate-bounce cap|gate-bounce cap	gate state is one of clean, clean-fixed-in-place, clean-demoted, blocked or un-gated, and all three clean states assemble
S-RES-SWEEP	NEW	clean-or-resolved	resolved is what RES defines, not the author's judgement
S-CTX	NEW	redteam_context	redteam_context is a first-class config key, priority-ordered, listing paths every cold agent must read
S-CTX-DECONF	NEW	off_limits_paths	redteam_context is citable source every cold agent must read; off_limits_paths is a fence the run must never write into; a path may be both
S-CTX-VAC	NEW	path-validation|[Vv]alidate every path|dead path	an absent or empty redteam_context is a config error that stops the run, because path-validation over an absent key checks zero paths and passes trivially
S-PATHVAL	NEW	path-validation|[Vv]alidate every path|dead path	path-validation runs at run start and again at every later spawn, and the list of paths checked plus its result are recorded in that node's decisions.md
S-OFL	NEW	off_limits_paths	off_limits_paths is a prompt-level convention, not an enforced fence: nothing here intercepts a write, and nothing catches a stray write to a path the config never declared	Naming is the fence
S-PRV	NEW	\bproven\b|completeness proven|proven, not asserted|prov(es|ing) that completeness	the gate raises the cost of shipping a hole. It does not certify its absence	PROVEN|proven, not asserted
S-PRV-LIMIT	NEW	three tiers|tier .iii.|contract-floor	what the gate establishes is attested by the reviewers themselves and sampled, not independently proven; tier iii asks for a negative no finite review can prove; and N same-model instances are not N independent minds
S-SPV	NEW	Spot-verify|spot-verify|spot-check	spot-verifying the citations is stage 5's duty: sample at least one citation per record and two per pass, record the sample and the result, and treat a fabricated citation as making that record un-run	whoever consumes the review checks
S-CNC-DECL	NEW	no single global cursor|in parallel|concurrent	parallel: sibling sub-orchestrators, and the three cold agents within one pass. serial: a node's own stages, and the two passes relative to each other	no single global cursor to stale-edit
S-CNC-INDEX	NEW	index\.md	index.md is derived and never authoritative: the top orchestrator regenerates it by walking the tree
S-CNC-TMPL	NEW	template used|template: <name>|record the template	the template used is recorded in that node's own plan.md header by stage 1, the only writer of that file
S-CNC-GATELOG	NEW	decisions\.md	the per-node gate log is that node's own decisions.md; plan/decisions.md is run-level only
S-CNC-LOCK	NEW	git commit|catalog commit|committed to the user-space	the catalog lock is an atomic symlink whose target is the holder's pid, created beside the catalog and never inside it, so the lock and its owner appear in one indivisible step
S-CNC-LOCK-REL	NEW	git commit|catalog commit|committed to the user-space	the step that acquires the lock releases it on the success path, on every failure path and before any HALT; and because a killed holder cannot run its own release, a lock whose target pid is not alive is stale by definition and any run may remove it
S-CNC-READ	NEW	git commit|catalog commit|committed to the user-space	every reader of the catalog takes the same lock or reads a git commit rather than the working tree
S-CNC-PENDING	NEW	git commit|catalog commit|committed to the user-space	a staged proposal is one file per node under run-root/catalog-pending/, named for that node's path so concurrent proposers cannot collide, and the run-end commit step is its only reader
